,question,answer,response,mapping,response_answer,equations,
732,There are c0 students in a school. If the school has c1 students in each grades and each grade has the same number of studentsHow many grades are there in total?,54,"If there are c1 students in each grade, then the total number of grades is c0/c1. However, since the number of students in each grade must be a whole number, we need to round up to the nearest integer using the ceiling function. 
total_grades = ceil(c0/c1)
The answer is total_grades.","{'c0': 270.0, 'c1': 5.0}",54,"['total_grades =  ceil(c0/c1)', 'answer = total_grades']",1
733,After finding some bottle caps at the park danny has c0 bottle caps in his collection. If he had c1 bottle caps in his collection earlierHow many bottle caps did he find at the park?,7,"Danny had c1 bottle caps in his collection earlier. After finding some at the park, he now has c0 bottle caps. So he found c0 - c1 bottle caps at the park.
bottle_caps_found = c0 - c1
The answer is bottle_caps_found.","{'c0': 32.0, 'c1': 25.0}",7,"['bottle_caps_found =  c0 - c1', 'answer = bottle_caps_found']",1
734,A mailman has to give c0 pieces of junk mail to each of the c1 blocks. If he gives c2 mails to each house in a blockHow many houses are there in a block?,4,"The mailman has to give c0 pieces of junk mail to each of the c1 blocks. So in total, he has to give c0 * c1 pieces of junk mail. 
total_junk_mail = c0 * c1
If he gives c2 mails to each house in a block, then there must be total_junk_mail / c2 houses in a block. 
houses_in_block = total_junk_mail / c2
The answer is houses_in_block.","{'c0': 32.0, 'c1': 55.0, 'c2': 8.0}",220,"['total_junk_mail =  c0 * c1', 'houses_in_block =  total_junk_mail / c2', 'answer = houses_in_block']",0
735,Winter is almost here and most animals are migrating to warmer countries. There are c0 bird families living near the mountain. If c1 bird families flew away to asia and c2 bird families flew away to africaHow many more bird families flew away to africa than those that flew away to asia?,27,"c1 bird families flew away to asia and c2 bird families flew away to africa. The difference between the two is c2 - c1. 
more_bird_families = c2 - c1
The answer is more_bird_families.","{'c0': 41.0, 'c1': 35.0, 'c2': 62.0}",27,"['more_bird_families =  c2 - c1', 'answer = more_bird_families']",1
736,Paul got a box of c0 crayons for his birthday. During the school year he gave c1 crayons to his friends while he lost c2 crayons.How many crayons had been lost or given away?,229,"Paul started with c0 crayons. He gave c1 crayons to his friends and lost c2 crayons. So the total number of crayons lost or given away is c1 + c2. 
lost_or_given = c1 + c2
The answer is lost_or_given.","{'c0': 65.0, 'c1': 213.0, 'c2': 16.0}",229,"['lost_or_given =  c1 + c2', 'answer = lost_or_given']",1
737,Rachel had to complete c0 pages of math homework and yet more pages of reading homework. If she had to complete a total of c1 pages of homeworkHow many pages of reading homework did she have to complete?,2,"Rachel had to complete c0 pages of math homework and some more pages of reading homework. The total homework was c1 pages. So the number of pages of reading homework is c1 - c0. 
reading_homework = c1 - c0
The answer is reading_homework.","{'c0': 5.0, 'c1': 7.0}",2,"['reading_homework =  c1 - c0', 'answer = reading_homework']",1
738,Brenda's mother made cookies for c0. She prepared c1 cookies but had to throw away c2 cookies. If each of them had the same number of cookiesHow many did each of them have?,1,"Brenda's mother made c0 cookies. She prepared c1 cookies but threw away c2. So she had c1 - c2 cookies left. 
cookies_left = c1 - c2
If Brenda and her mother had the same number of cookies, they each had cookies_left/2 cookies. 
cookies_each = cookies_left/2
The answer is cookies_each.","{'c0': 5.0, 'c1': 22.0, 'c2': 17.0}",2.5,"['cookies_left =  c1 - c2', 'cookies_each =  cookies_left/2', 'answer = cookies_each']",0
739,There were c0 roses and c1 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now c2 orchids and c3 roses in the vase.How many more roses than orchids are there in the vase now?,1,"There were originally c0 roses and c1 orchids in the vase. Jessica added some more roses and orchids, so the total number of flowers in the vase is c0 + c1 + new_flowers. 
total_flowers = c0 + c1 + new_flowers
We know that there are now c2 orchids and c3 roses in the vase, so the difference between the number of roses and orchids is c3 - c2. 
roses_minus_orchids = c3 - c2
We can solve for new_flowers by setting total_flowers equal to c2 + c3 and solving for new_flowers. 
total_flowers = c2 + c3
new_flowers = total_flowers - c0 - c1
Now we can substitute this expression for new_flowers into our equation for roses_minus_orchids. 
roses_minus_orchids = c3 - c2 - (total_flowers - c0 - c1)
Simplifying, we get: 
roses_minus_orchids = c3 - c2 - total_flowers + c0 + c1
The answer is roses_minus_orchids.","{'c0': 6.0, 'c1': 20.0, 'c2': 21.0, 'c3': 22.0}",-16,"['total_flowers =  c0 + c1 + new_flowers', 'roses_minus_orchids =  c3 - c2', 'total_flowers =  c2 + c3', 'new_flowers =  total_flowers - c0 - c1', 'roses_minus_orchids =  c3 - c2 - (total_flowers - c0 - c1)', 'roses_minus_orchids =  c3 - c2 - total_flowers + c0 + c1', 'answer = roses_minus_orchids']",0
740,He had a total of c0 saltwater animals in different aquariums. Each aquarium has c1 animals in it.How many aquariums did he have?,20,"He had a total of c0 saltwater animals in different aquariums. Each aquarium has c1 animals in it. So the number of aquariums he had is c0 divided by c1. 
number_of_aquariums = c0 / c1
The answer is number_of_aquariums.","{'c0': 40.0, 'c1': 2.0}",20,"['number_of_aquariums =  c0 / c1', 'answer = number_of_aquariums']",1
741,Every day Ryan spends c0 hours on learning english and c1 hours on learning chinese. If he learns for c2 daysHow many hours does he spend on learning english and chinese in all?,65,"Ryan spends c0 hours on learning english and c1 hours on learning chinese every day. If he learns for c2 days, he spends c0*c2 hours on learning english and c1*c2 hours on learning chinese in total. 
total_hours = c0*c2 + c1*c2
The answer is total_hours.","{'c0': 6.0, 'c1': 7.0, 'c2': 5.0}",65,"['total_hours =  c0*c2 + c1*c2', 'answer = total_hours']",1
742,Rachel picked c0 apples from her tree. Thereafter c1 new apples grew on the tree. Now the tree has c2 apples still on it.How many apples did the tree have to begin with?,11,"Rachel picked c0 apples from the tree. Then c1 new apples grew, so the tree had c0 + c1 apples. Now the tree has c2 apples, so the tree must have had c0 + c1 + (c2 - c0 - c1) = c2 apples to begin with. 
initial_apples = c2
The answer is initial_apples.","{'c0': 7.0, 'c1': 2.0, 'c2': 6.0}",2,"['c1) =  c2 apples to begin with. ', 'initial_apples =  c2', 'answer = initial_apples']",0
743,There were c0 people on the bus. At the next stop c1 more people got on the bus and c2 people got off.How many people are there on the bus now?,17,"There were originally c0 people on the bus. c1 more people got on, so the total number of people on the bus is c0 + c1. Then c2 people got off, so the final number of people on the bus is (c0 + c1) - c2. 
final_people_on_bus = (c0 + c1) - c2
The answer is final_people_on_bus.","{'c0': 8.0, 'c1': 12.0, 'c2': 3.0}",17,"['final_people_on_bus =  (c0 + c1) - c2', 'answer = final_people_on_bus']",1
744,Dave had c0 apps and c1 files on his phone. After deleting some apps and files he had c2 apps and c3 files left.How many more apps than files does he have left on the phone?,17,"Dave started with c0 apps and c1 files. After deleting some, he had c2 apps and c3 files left. So he has c2 - c3 more apps than files left on his phone. 
apps_minus_files = c2 - c3
The answer is apps_minus_files.","{'c0': 15.0, 'c1': 24.0, 'c2': 21.0, 'c3': 4.0}",17,"['apps_minus_files =  c2 - c3', 'answer = apps_minus_files']",1
745,Baker made c0 cakes. He bought c1 new cakes and sold c2 cakes.How many cakes does baker still have?,190,"Baker started with c0 cakes. He bought c1 new cakes, so he had c0 + c1 cakes. Then he sold c2 cakes, so he has c0 + c1 - c2 cakes left. 
cakes_remaining = c0 + c1 - c2
The answer is cakes_remaining.","{'c0': 173.0, 'c1': 103.0, 'c2': 86.0}",190,"['cakes_remaining =  c0 + c1 - c2', 'answer = cakes_remaining']",1
746,Mary is baking a cake. The recipe calls for c0 cups of sugar c1 cups of flour and c2 cups of salt. She already put in c3 cups of flour.How many more cups of sugar than cups of salt does she need to add now?,2,"Mary needs c0 cups of sugar and c2 cups of salt for the recipe. She already put in c3 cups of flour, but that is not relevant to the question. 
sugar_needed = c0
salt_needed = c2
She needs to add sugar_needed - salt_needed cups of sugar. 
sugar_to_add = sugar_needed - salt_needed
The answer is sugar_to_add.","{'c0': 11.0, 'c1': 6.0, 'c2': 9.0, 'c3': 12.0}",2,"['sugar_needed =  c0', 'salt_needed =  c2', 'sugar_to_add =  sugar_needed - salt_needed', 'answer = sugar_to_add']",1
747,Ryan learns english and chinese for c0 days. Every day he spends c1 hours on learning english and c2 hours on learning chinese.How many hours does he spend on learning english and chinese in all?,63,"Ryan learns for c0 days. Each day he spends c1 hours on english and c2 hours on chinese. So in total, he spends c0 * (c1 + c2) hours on learning both languages. 
total_hours = c0 * (c1 + c2)
The answer is total_hours.","{'c0': 7.0, 'c1': 4.0, 'c2': 5.0}",63,"['total_hours =  c0 * (c1 + c2)', 'answer = total_hours']",1
748,Dan has $ c0. He bought a candy bar for $ c1 and a chocolate for $ 3.How much money is left?,2,"Dan had c0 dollars. He spent c1 dollars on a candy bar and 3 dollars on a chocolate. 
total_spent = c1 + 3
So he has c0 - total_spent dollars left. 
money_remaining = c0 - total_spent
The answer is money_remaining.","{'c0': 7.0, 'c1': 2.0}",2,"['total_spent =  c1 + 3', 'money_remaining =  c0 - total_spent', 'answer = money_remaining']",1
749,During summer break c0 kids from Lawrence county stayed home and the rest went to camp. The total number of kids in Lawrence county is 91676.About how many kids in Lawrence county went to camp?,30057,"If c0 kids stayed home, then the number of kids who went to camp is 91676 - c0. However, we don't know the exact value of c0, so we can only estimate. One way to estimate is to assume that the proportion of kids who stayed home is the same as the proportion of kids in Lawrence county who live in households that cannot afford summer camp. According to a study by the National Center for Children in Poverty, about 43% of children in Lawrence county live in households with incomes below 200% of the federal poverty level, which is often used as a proxy for financial hardship. If we assume that all of these children cannot afford summer camp, and that the remaining children can, then we can estimate that about 57% of the total number of kids in Lawrence county went to camp. To find out how many kids this corresponds to, we can multiply 0.57 by 91676:
number_of_kids_at_camp = 0.57 * 91676
The answer is number_of_kids_at_camp, which is an estimate.",{'c0': 61619.0},52255.32,"['number_of_kids_at_camp =  0.57 * 91676', 'answer = number_of_kids_at_camp, which is an estimate']",0
750,After Jessie started to go jogging everyday she lost c0 kilograms. She currently weighs c1 kilograms.How much did she weigh before starting to jog?,192,"Jessie lost c0 kilograms and currently weighs c1 kilograms. So her weight before starting to jog was c0 + c1 kilograms. 
starting_weight = c0 + c1
The answer is starting_weight.","{'c0': 126.0, 'c1': 66.0}",192,"['starting_weight =  c0 + c1', 'answer = starting_weight']",1
751,Josh had c0 marbles in his collection. He lost c1 marbles and found c2 new ones.How many more marbles did he find than those he lost?,2,"Josh started with c0 marbles. After losing c1, he had c0 - c1 marbles. 
marbles_lost = c1
After finding c2 new ones, he had c0 - c1 + c2 marbles. 
marbles_found = c2
The difference between marbles found and lost is marbles_found - marbles_lost. 
difference = marbles_found - marbles_lost
The answer is difference.","{'c0': 7.0, 'c1': 8.0, 'c2': 10.0}",2,"['marbles_lost =  c1', 'marbles_found =  c2', 'difference =  marbles_found - marbles_lost', 'answer = difference']",1
752,Nell collects cards. She had c0 baseball cards and c1 Ace cards. She gave some of her cards to Jeff and now has c2 Ace cards and c3 baseball cards left.How many more Ace cards than baseball cards does Nell have?,265,"Nell started with c0 baseball cards and c1 Ace cards. After giving some to Jeff, she has c2 Ace cards and c3 baseball cards left. So she gave away c1 - c2 Ace cards and c0 - c3 baseball cards. 
Ace_cards_given = c1 - c2
Baseball_cards_given = c0 - c3
Now she has c2 Ace cards and c3 baseball cards. So she has c2 - Ace_cards_given Ace cards and c3 - Baseball_cards_given baseball cards. 
Ace_cards_remaining = c2 - Ace_cards_given
Baseball_cards_remaining = c3 - Baseball_cards_given
The difference between the remaining Ace cards and baseball cards is Ace_cards_remaining - Baseball_cards_remaining. 
Ace_cards_more = Ace_cards_remaining - Baseball_cards_remaining
The answer is Ace_cards_more.","{'c0': 239.0, 'c1': 38.0, 'c2': 376.0, 'c3': 111.0}",731,"['Ace_cards_given =  c1 - c2', 'Baseball_cards_given =  c0 - c3', 'Ace_cards_remaining =  c2 - Ace_cards_given', 'Baseball_cards_remaining =  c3 - Baseball_cards_given', 'Ace_cards_more =  Ace_cards_remaining - Baseball_cards_remaining', 'answer = Ace_cards_more']",0
753,In a school there are c0 boys and c1 girls. c2 more girls joined the school.How many more girls than boys does the school have?,298,"The school originally had c0 boys and c1 girls. After c2 more girls joined, the school has c1 + c2 girls. 
total_girls = c1 + c2
The difference between the number of girls and boys is total_girls - c0. 
difference = total_girls - c0
The answer is difference.","{'c0': 362.0, 'c1': 257.0, 'c2': 403.0}",298,"['total_girls =  c1 + c2', 'difference =  total_girls - c0', 'answer = difference']",1
754,Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away c0 of them and only had c1 left.How many crayons did he get for his birthday?,728,"Paul started with some number of crayons for his birthday. He lost or gave away c0 of them and had c1 left. So he must have started with c0 + c1 crayons. 
initial_crayons = c0 + c1
The answer is initial_crayons.","{'c0': 551.0, 'c1': 177.0}",728,"['initial_crayons =  c0 + c1', 'answer = initial_crayons']",1
755,Bryan took a look at his books as well. If he has a total of c0 books and each bookshelf contains c1 booksHow many bookshelves does he have?,21,"Bryan has c0 books in total. Each bookshelf contains c1 books. To find out how many bookshelves he has, we need to divide c0 by c1. 
bookshelves = c0 / c1
The answer is bookshelves.","{'c0': 42.0, 'c1': 2.0}",21,"['bookshelves =  c0 / c1', 'answer = bookshelves']",1
756,Julia played tag with c0 kids on monday. If she played tag with c1 more kids on monday than on tuesdayHow many kids did she play with on tuesday?,4,"Julia played with c0 kids on monday. She played with c1 more kids on monday than on tuesday. So on tuesday, she played with c0 - c1 kids. 
kids_played_tuesday = c0 - c1
The answer is kids_played_tuesday.","{'c0': 16.0, 'c1': 12.0}",4,"['kids_played_tuesday =  c0 - c1', 'answer = kids_played_tuesday']",1
757,He then went to see the oranges being harvested. He found out that they harvest c0 sacks of unripe oranges and c1 sacks of ripe oranges per day.How many more sacks of ripe oranges than unripe oranges are harvested per day?,45,"They harvest c0 sacks of unripe oranges and c1 sacks of ripe oranges per day. So the difference between the number of ripe and unripe oranges harvested per day is c1 - c0. 
ripe_unripe_difference = c1 - c0
The answer is ripe_unripe_difference.","{'c0': 41.0, 'c1': 86.0}",45,"['ripe_unripe_difference =  c1 - c0', 'answer = ripe_unripe_difference']",1
758,Allan brought c0 balloons. If Allan and Jake brought total of c1 balloons to the parkHow many balloons did Jake bring to the park?,1,"Allan brought c0 balloons. Allan and Jake brought c1 balloons in total. So Jake must have brought c1 - c0 balloons to the park. 
balloons_jake = c1 - c0
The answer is balloons_jake.","{'c0': 5.0, 'c1': 6.0}",1,"['balloons_jake =  c1 - c0', 'answer = balloons_jake']",1
759,The ring toss game at the carnival made c0 dollars per day. They were at the carnival for c1 days.How much money did they make?,3168,"The ring toss game made c0 dollars per day. They were at the carnival for c1 days. So they made c0 * c1 dollars in total. 
total_money = c0 * c1
The answer is total_money.","{'c0': 144.0, 'c1': 22.0}",3168,"['total_money =  c0 * c1', 'answer = total_money']",1
760,Each basket of peaches has c0 red peaches and c1 green peaches. If there are c2 such basketsHow many peaches are in the baskets altogether?,345,"Each basket has c0 + c1 peaches. There are c2 baskets. So the total number of peaches is (c0 + c1) * c2. 
total_peaches = (c0 + c1) * c2
The answer is total_peaches.","{'c0': 19.0, 'c1': 4.0, 'c2': 15.0}",345,"['total_peaches =  (c0 + c1) * c2', 'answer = total_peaches']",1
761,Paco had c0 sweet cookies and c1 salty cookies. He ate c2 sweet cookies and c3 salty cookies.How many more sweet cookies than salty cookies did he eat?,3,"Paco started with c0 sweet cookies and c1 salty cookies. After eating c2 sweet cookies, he had c0 - c2 sweet cookies left. After eating c3 salty cookies, he had c1 - c3 salty cookies left. 
sweet_cookies_left = c0 - c2
salty_cookies_left = c1 - c3
He ate sweet_cookies_left - salty_cookies_left more sweet cookies than salty cookies. 
more_sweet_cookies = sweet_cookies_left - salty_cookies_left
The answer is more_sweet_cookies.","{'c0': 37.0, 'c1': 11.0, 'c2': 5.0, 'c3': 2.0}",23,"['sweet_cookies_left =  c0 - c2', 'salty_cookies_left =  c1 - c3', 'more_sweet_cookies =  sweet_cookies_left - salty_cookies_left', 'answer = more_sweet_cookies']",0
762,Jake has c0 fewer peaches than Steven. If Jake has c1 peaches.How many peaches does Steven have?,28,"Jake has c0 fewer peaches than Steven, so Steven has c1 + c0 peaches. 
Steven_peaches = c1 + c0
The answer is Steven_peaches.","{'c0': 11.0, 'c1': 17.0}",28,"['Steven_peaches =  c1 + c0', 'answer = Steven_peaches']",1
763,Paul got a box of c0 crayons for his birthday. During the school year he lost c1 crayons while he gave away c2 crayons to his friends.How many more crayons did he give to his friends than those he lost?,77,"Paul started with c0 crayons. He lost c1 crayons during the school year and gave away c2 crayons to his friends. So he gave away c2 - c1 more crayons than he lost. 
crayons_given_away = c2 - c1
The answer is crayons_given_away.","{'c0': 267.0, 'c1': 231.0, 'c2': 308.0}",77,"['crayons_given_away =  c2 - c1', 'answer = crayons_given_away']",1
764,If the cave is c0 feet deep and they need to travel c1 feetHow far is the end of the cave?,2226,"The end of the cave is c1 feet away from the entrance. The depth of the cave, c0, is not relevant to the distance to the end. 
The answer is c1 feet.","{'c0': 919.0, 'c1': 1307.0}",1307,['answer = c1 feet'],0
765,There are c0 bananas and c1 oranges in Philip's collection. If the bananas are organized into c2 groups and oranges are organized into c3 groupsHow big is each group of bananas?,29,"There are c0 bananas and c1 oranges. If the bananas are organized into c2 groups, then each group will have c0/c2 bananas. 
bananas_per_group = c0/c2
The answer is bananas_per_group.","{'c0': 203.0, 'c1': 63.0, 'c2': 7.0, 'c3': 95.0}",29,"['bananas_per_group =  c0/c2', 'answer = bananas_per_group']",1
766,Rebecca wants to split a collection of eggs into groups of c0. Rebecca has c1 eggs and c2 marbles.How many more eggs does Rebecca have than marbles?,14,"Rebecca has c1 eggs. To split them into groups of c0, she needs to divide c1 by c0. 
egg_groups = c1 // c0
She also has c2 marbles. To find out how many more eggs she has than marbles, we subtract c2 from c1. 
eggs_more_than_marbles = c1 - c2
The answer is eggs_more_than_marbles.","{'c0': 5.0, 'c1': 20.0, 'c2': 6.0}",14,"['egg_groups =  c1 // c0', 'eggs_more_than_marbles =  c1 - c2', 'answer = eggs_more_than_marbles']",1
767,Paige raised c0 goldfish in the pond but stray cats loved eating them. c1 were eaten.How many goldfish remained?,10,"Paige started with c0 goldfish. c1 were eaten by stray cats. So the number of goldfish remaining is c0 - c1. 
goldfish_remaining = c0 - c1
The answer is goldfish_remaining.","{'c0': 15.0, 'c1': 5.0}",10,"['goldfish_remaining =  c0 - c1', 'answer = goldfish_remaining']",1
768,Zachary did c0 push-ups and c1 crunches in gym class today. David did c2 more push-ups but c3 less crunches than zachary.How many push-ups did David do?,78,"Zachary did c0 push-ups and c1 crunches. David did c2 more push-ups than Zachary, so he did c0 + c2 push-ups. David did c3 less crunches than Zachary, so he did c1 - c3 crunches. 
The answer is c0 + c2 push-ups.","{'c0': 59.0, 'c1': 44.0, 'c2': 19.0, 'c3': 27.0}",78,['answer = c0 + c2 push-ups'],1
769,Dave had c0 apps on his phone. He deleted c1 apps.How many apps are left on his phone?,14,"Dave started with c0 apps. After deleting c1 apps, he has c0 - c1 apps left. 
apps_left = c0 - c1
The answer is apps_left.","{'c0': 19.0, 'c1': 5.0}",14,"['apps_left =  c0 - c1', 'answer = apps_left']",1
770,Mary is baking a cake. The recipe calls for c0 cups of sugar c1 cups of flour and c2 cups of salt. She already put in c3 cups of flour.How many more cups of flour than cups of sugar does she need to add now?,1,"The recipe calls for c0 cups of sugar and c1 cups of flour. She already put in c3 cups of flour, so she needs c1 - c3 more cups of flour. 
flour_needed = c1 - c3
To find out how many more cups of flour than cups of sugar she needs to add, we subtract c0 from flour_needed. 
difference = flour_needed - c0
The answer is difference.","{'c0': 9.0, 'c1': 14.0, 'c2': 40.0, 'c3': 4.0}",1,"['flour_needed =  c1 - c3', 'difference =  flour_needed - c0', 'answer = difference']",1
771,He then went to see the oranges being harvested. He found out that they harvest c0 sacks of ripe oranges and c1 sacks of unripe oranges per day.How many sacks of ripe oranges will they have after c2 days of harvest?,2050,"Each day they harvest c0 sacks of ripe oranges, so in c2 days they will have c0 * c2 sacks of ripe oranges. 
ripe_oranges = c0 * c2
The answer is ripe_oranges.","{'c0': 82.0, 'c1': 61.0, 'c2': 25.0}",2050,"['ripe_oranges =  c0 * c2', 'answer = ripe_oranges']",1
772,Jack received c0 emails and c1 letters in the morning. He then received c2 emails and c3 letters in the afternoon.How many more emails did Jack receive in the morning than in the afternoon?,7,"Jack received c0 emails and c1 letters in the morning, and c2 emails and c3 letters in the afternoon. The difference in the number of emails received in the morning and afternoon is c0 - c2. 
emails_difference = c0 - c2
The answer is emails_difference.","{'c0': 10.0, 'c1': 12.0, 'c2': 3.0, 'c3': 44.0}",7,"['emails_difference =  c0 - c2', 'answer = emails_difference']",1
773,Katie had c0 new games and c1 old games. Her friends had c2 new games and c3 old games.How many old games do they have c4,121,"Katie had c0 new games and c1 old games. Her friends had c2 new games and c3 old games. To find the total number of old games, we add Katie's old games and her friends' old games. 
total_old_games = c1 + c3
The answer is total_old_games.","{'c0': 62.0, 'c1': 80.0, 'c2': 73.0, 'c3': 41.0, 'c4': 3.0}",121,"['total_old_games =  c1 + c3', 'answer = total_old_games']",1
774,Together Adam and Jackie have c0 apples. He has c1 apples more than Adam and Jackie together do. Adam has c2 more apples than Jackie.How many apples does He have?,21,"Let's start by finding the total number of apples Adam and Jackie have together. 
Adam has c2 more apples than Jackie, so we can represent Jackie's number of apples as x and Adam's as x + c2. 
Together, they have x + (x + c2) = 2x + c2 apples. 
We know that He has c1 more apples than Adam and Jackie together, so we can represent He's number of apples as 2x + c2 + c1. 
We can substitute the expression for the total number of apples into the equation for He's apples: 
2x + c2 + c1 = c0 
Solving for x: 
2x = c0 - c2 - c1 
x = (c0 - c2 - c1) / 2 
Now we can substitute x back into the expression for He's apples: 
He's apples = 2x + c2 + c1 
He's apples = 2((c0 - c2 - c1) / 2) + c2 + c1 
He's apples = c0 - c1 
The answer is c0 - c1.","{'c0': 12.0, 'c1': 9.0, 'c2': 8.0}",3,"['c2) =  2x + c2 apples. ', 'x =  (c0 - c2 - c1) / 2 ', 'apples =  2x + c2 + c1 ', 'apples =  2((c0 - c2 - c1) / 2) + c2 + c1 ', 'apples =  c0 - c1 ', 'answer = c0 - c1']",0
775,He then went to see the oranges being harvested. He found out that they harvest c0 sacks per day and that each sack containes c1 oranges.How many oranges are harvested if they harvest a total of c2 sacks of oranges?,420,"Each sack contains c1 oranges, so c0 sacks will contain c0 * c1 oranges. 
oranges_per_day = c0 * c1
If they harvest c2 sacks in total, then they will have c2 * c1 oranges. 
total_oranges = c2 * c1
The answer is total_oranges.","{'c0': 67.0, 'c1': 12.0, 'c2': 35.0}",420,"['oranges_per_day =  c0 * c1', 'total_oranges =  c2 * c1', 'answer = total_oranges']",1
776,There are c0 oranges and c1 bananas in Philip's collection. If the bananas are organized into c2 groups and oranges are organized into c3 groupsHow big is each group of bananas?,145,"There are c1 bananas in c2 groups. So each group has c1/c2 bananas. 
bananas_per_group = c1/c2
The answer is bananas_per_group.","{'c0': 87.0, 'c1': 290.0, 'c2': 2.0, 'c3': 93.0}",145,"['bananas_per_group =  c1/c2', 'answer = bananas_per_group']",1
777,There are c0 oranges and c1 bananas in Philip's collection. If the bananas are organized into c2 groups and oranges are organized into c3 groupsHow big is each group of oranges?,24,"To find the size of each group of oranges, we need to divide the total number of oranges by the number of groups they are organized into. The total number of oranges is c0 and they are organized into c3 groups, so each group will have c0/c3 oranges. 
size_of_orange_group = c0/c3
The answer is size_of_orange_group.","{'c0': 384.0, 'c1': 192.0, 'c2': 345.0, 'c3': 16.0}",24,"['size_of_orange_group =  c0/c3', 'answer = size_of_orange_group']",1
778,David did c0 more push-ups but c1 less crunches than Zachary in gym class today. If Zachary did c2 push-ups and c3 crunchesHow many more crunches than push-ups did Zachary do?,12,"David did c0 more push-ups than Zachary, so Zachary did c2 - c0 push-ups. 
Zachary did c1 less crunches than David, so David did c3 + c1 crunches. 
Zachary did c3 crunches, so he did c3 - (c3 + c1 - c0) push-ups. 
Zachary did c0 + c1 more crunches than push-ups. 
The answer is c0 + c1.","{'c0': 27.0, 'c1': 7.0, 'c2': 5.0, 'c3': 17.0}",34,['answer = c0 + c1'],0
779,He also had c0 aquariums for freshwater animals and c1 aquariums for saltwater animals. Each aquarium has c2 animals in it.How many saltwater animals does Tyler have?,1012,"Tyler has c1 aquariums for saltwater animals, and each aquarium has c2 animals in it. So he has c1 * c2 saltwater animals. 
saltwater_animals = c1 * c2
The answer is saltwater_animals.","{'c0': 74.0, 'c1': 22.0, 'c2': 46.0}",1012,"['saltwater_animals =  c1 * c2', 'answer = saltwater_animals']",1
780,There were c0 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were c1 dollars left. If she spent c2 dollars at the showroomHow much did she spend at the supermarket?,31,"Olivia started with c0 dollars. After visiting the supermarket and showroom, she had c1 dollars left. So she spent c0 - c1 dollars in total. 
total_spent = c0 - c1
If she spent c2 dollars at the showroom, then she spent c2 less at the supermarket. 
spent_supermarket = total_spent - c2
The answer is spent_supermarket.","{'c0': 106.0, 'c1': 26.0, 'c2': 49.0}",31,"['total_spent =  c0 - c1', 'spent_supermarket =  total_spent - c2', 'answer = spent_supermarket']",1
781,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped c0 inches. The frog jumped c1 inches farther than the grasshopper and the mouse jumped c2 inches lesser than the frog.How much farther did the mouse jump than the grasshopper?",28,"The frog jumped c1 inches farther than the grasshopper, so the frog's jump was c0 + c1 inches. 
The mouse jumped c2 inches lesser than the frog, so the mouse's jump was (c0 + c1) - c2 inches. 
To find how much farther the mouse jumped than the grasshopper, we need to subtract the grasshopper's jump from the mouse's jump. 
mouse_jump = (c0 + c1) - c2
grasshopper_jump = c0
farther_jump = mouse_jump - grasshopper_jump
The answer is farther_jump.","{'c0': 24.0, 'c1': 33.0, 'c2': 5.0}",28,"['mouse_jump =  (c0 + c1) - c2', 'grasshopper_jump =  c0', 'farther_jump =  mouse_jump - grasshopper_jump', 'answer = farther_jump']",1
782,Rachel picked c0 ripe apples from her tree. Now the tree has c1 ripe apples and c2 unripe apples.How many apples did the tree have to begin with?,12,"Rachel picked c0 ripe apples from the tree. Now the tree has c1 ripe apples and c2 unripe apples. So the tree originally had c0 + c1 + c2 apples. 
total_apples = c0 + c1 + c2
The answer is total_apples.","{'c0': 6.0, 'c1': 2.0, 'c2': 4.0}",12,"['total_apples =  c0 + c1 + c2', 'answer = total_apples']",1
783,Frank was reading through his favorite book. The book had c0 pages and he read c1 pages per day.How many days did he take to finish the book?,28,"The book had c0 pages. Frank read c1 pages per day. To finish the book, he needs to read c0 pages. So he will take c0/c1 days to finish the book. 
days_to_finish = c0/c1
The answer is days_to_finish.","{'c0': 392.0, 'c1': 14.0}",28,"['days_to_finish =  c0/c1', 'answer = days_to_finish']",1
784,Ed had c0 more marbles than Doug. Doug lost c1 of his marbles at the playground while Ed found c2 more marbles.How many more marbles did Ed have than Doug then?,60,"Ed started with c0 more marbles than Doug, so Ed had c0 + Doug's marbles. After Doug lost c1 marbles, he had Doug's marbles - c1. After Ed found c2 more marbles, he had c0 + Doug's marbles + c2. 
Ed's marbles - Doug's marbles = (c0 + Doug's marbles + c2) - (Doug's marbles - c1)
Simplifying, we get:
Ed's marbles - Doug's marbles = c0 + c1 + c2
The answer is c0 + c1 + c2.","{'c0': 24.0, 'c1': 27.0, 'c2': 9.0}",60,"[""marbles =  (c0 + Doug's marbles + c2) - (Doug's marbles - c1)"", 'marbles =  c0 + c1 + c2', 'answer = c0 + c1 + c2']",1
785,Faye was placing her pencils into rows with c0 pencils in each row. If she had c1 pencils and c2 crayonsHow many rows could she make?,7,"Faye had c1 pencils. If she puts c0 pencils in each row, then the number of rows she can make is c1/c0. 
rows = c1/c0
The answer is rows.","{'c0': 5.0, 'c1': 35.0, 'c2': 7.0}",7,"['rows =  c1/c0', 'answer = rows']",1
